22	@rquiroga777 Ojala sea eso, así tienen un margen más amplio para el trabajo que desarrollan. El descenso que habría que tomar es el del 20/1?, porque ahí calculo que empezaron a tener algo de inmunidad ya que empezaron a vacunarse a fines de diciembre.
23	Habla de rigor. RIGOR. Qué suerte que me canceló esta mina. Un honor ser cancelada por ignorantes. https://t.co/bvd7qBfHCT Esta mina no tiene idea de lo q implica romper un organismo como la ANMAT. La ignorancia es audaz.
23	@spitta1969 @hindelita  46.500 muertos ... militate esa , un fracaso total lo sanitario y lo economico y ahora mienten con las vacunas ... deci que les queda poco .... tic. tac tic tac tic tac
24	Habla de rigor. RIGOR. Qué suerte que me canceló esta mina. Un honor ser cancelada por ignorantes. https://t.co/bvd7qBfHCT Esta mina no tiene idea de lo q implica romper un organismo como la ANMAT. La ignorancia es audaz.
24	@spitta1969 @adri15340071 Tal cual. Los años de lucha que costó armarlo contra políticos, empresarios y sin presupuesto. Costó sangre, sudor y lágrimas. Muy bien Pitta!!
25	Escapad gente tierna Que esta tierra está enferma Y no esperes mañana Lo que no te dio ayer Que no hay nada que hacer🎶  https://t.co/iG1V2zO4E3 Esta mina es infectóloga. INFECTÓLOGA.
25	@spitta1969 Una doctora de Chaco a las 24 hs de haber recibido la vacuna rusa  tuvo sarpullido, fiebre, vomitos y diarrea. Termino en Terapia Intensiva y se temio por su vida. Por suerte el fin de semana le dieron el alta.
26	"Esta semana se cumple un año de ""Al virus lo frenamos entre todos"" #somosresponsables  ¿Cual es el balance del año? ¿Los medios estuvieron a la altura? ¿Contribuyeron con información confiable?  Los leo. https://t.co/lXtGUb7uEF"
26	@FabBallarini No, no contribuyeron con información confiable. Debería haber una ley contra las noticias falsas que atentan contra la salud de las personas. No nos olvidemos de los muertos por ClO2 y los médicos que murieron por el miedo q le tenían a la vacuna, un miedo creado por los medios.
27	"Esta semana se cumple un año de ""Al virus lo frenamos entre todos"" #somosresponsables  ¿Cual es el balance del año? ¿Los medios estuvieron a la altura? ¿Contribuyeron con información confiable?  Los leo. https://t.co/lXtGUb7uEF"
